ferramenta,tipo_template,recurso,peso
Biblioteca de Provas,educacional,quiz,2
Biblioteca de Provas,educacional,simulado,3
Biblioteca de Provas,educacional,flashcards,1
Biblioteca de Provas,educacional,biblioteca,2
COPSOQ II,escala,calculadora,3
COPSOQ II,escala,artigo,1
COPSOQ II,escala,quiz,2
COPSOQ II,escala,guia_bolso,1
COPSOQ II,escala,flashcards,1
COPSOQ II,escala,caso_clinico,2
COPSOQ II,escala,checklist,2
COPSOQ II,escala,slides,1
COPSOQ II,escala,infografico,1
COPSOQ II,escala,biblioteca,2
COPSOQ III,escala,calculadora,3
COPSOQ III,escala,artigo,1
COPSOQ III,escala,quiz,2
COPSOQ III,escala,guia_bolso,1
COPSOQ III,escala,flashcards,1
COPSOQ III,escala,caso_clinico,2
COPSOQ III,escala,checklist,2
COPSOQ III,escala,slides,1
COPSOQ III,escala,infografico,1
COPSOQ III,escala,biblioteca,2
Calculadora Adicional Noturno,calculadora,calculadora,3
Calculadora Adicional Noturno,calculadora,artigo,1
Calculadora Adicional Noturno,calculadora,quiz,2
Calculadora Adicional Noturno,calculadora,guia_bolso,1
Calculadora Adicional Noturno,calculadora,flashcards,1
Calculadora Adicional Noturno,calculadora,checklist,2
Calculadora Adicional Noturno,calculadora,caso_clinico,2
Calculadora Adicional Noturno,calculadora,slides,1
Calculadora Adicional Noturno,calculadora,infografico,1
Calculadora Adicional Noturno,calculadora,mapa_mental,1
Calculadora Adicional Noturno,calculadora,simulado,3
Calculadora Adicional Noturno,calculadora,biblioteca,2
Calculadora Horas Extras,calculadora,calculadora,3
Calculadora Horas Extras,calculadora,artigo,1
Calculadora Horas Extras,calculadora,quiz,2
Calculadora Horas Extras,calculadora,guia_bolso,1
Calculadora Horas Extras,calculadora,flashcards,1
Calculadora Horas Extras,calculadora,checklist,2
Calculadora Horas Extras,calculadora,caso_clinico,2
Calculadora Horas Extras,calculadora,slides,1
Calculadora Horas Extras,calculadora,infografico,1
Calculadora Horas Extras,calculadora,mapa_mental,1
Calculadora Horas Extras,calculadora,simulado,3
Calculadora Horas Extras,calculadora,biblioteca,2
Calculadora Rescisao,calculadora,calculadora,3
Calculadora Rescisao,calculadora,artigo,1
Calculadora Rescisao,calculadora,quiz,2
Calculadora Rescisao,calculadora,guia_bolso,1
Calculadora Rescisao,calculadora,flashcards,1
Calculadora Rescisao,calculadora,checklist,2
Calculadora Rescisao,calculadora,caso_clinico,2
Calculadora Rescisao,calculadora,slides,1
Calculadora Rescisao,calculadora,infografico,1
Calculadora Rescisao,calculadora,mapa_mental,1
Calculadora Rescisao,calculadora,simulado,3
Calculadora Rescisao,calculadora,biblioteca,2
Calculadora de Exames Laboratoriais,calculadora,calculadora,3
Calculadora de Exames Laboratoriais,calculadora,artigo,1
Calculadora de Exames Laboratoriais,calculadora,quiz,2
Calculadora de Exames Laboratoriais,calculadora,guia_bolso,1
Calculadora de Exames Laboratoriais,calculadora,flashcards,1
Calculadora de Exames Laboratoriais,calculadora,checklist,2
Calculadora de Exames Laboratoriais,calculadora,caso_clinico,2
Calculadora de Exames Laboratoriais,calculadora,slides,1
Calculadora de Exames Laboratoriais,calculadora,infografico,1
Calculadora de Exames Laboratoriais,calculadora,mapa_mental,1
Calculadora de Exames Laboratoriais,calculadora,simulado,3
Calculadora de Exames Laboratoriais,calculadora,biblioteca,2
Calculadora de Ferias,calculadora,calculadora,3
Calculadora de Ferias,calculadora,artigo,1
Calculadora de Ferias,calculadora,quiz,2
Calculadora de Ferias,calculadora,guia_bolso,1
Calculadora de Ferias,calculadora,flashcards,1
Calculadora de Ferias,calculadora,checklist,2
Calculadora de Ferias,calculadora,caso_clinico,2
Calculadora de Ferias,calculadora,slides,1
Calculadora de Ferias,calculadora,infografico,1
Calculadora de Ferias,calculadora,mapa_mental,1
Calculadora de Ferias,calculadora,simulado,3
Calculadora de Ferias,calculadora,biblioteca,2
Calculo de Medicamentos,calculadora,calculadora,3
Calculo de Medicamentos,calculadora,artigo,1
Calculo de Medicamentos,calculadora,quiz,2
Calculo de Medicamentos,calculadora,guia_bolso,1
Calculo de Medicamentos,calculadora,flashcards,1
Calculo de Medicamentos,calculadora,checklist,2
Calculo de Medicamentos,calculadora,caso_clinico,2
Calculo de Medicamentos,calculadora,slides,1
Calculo de Medicamentos,calculadora,infografico,1
Calculo de Medicamentos,calculadora,mapa_mental,1
Calculo de Medicamentos,calculadora,simulado,3
Calculo de Medicamentos,calculadora,biblioteca,2
Classif. Perroca (SCP),escala,calculadora,3
Classif. Perroca (SCP),escala,artigo,1
Classif. Perroca (SCP),escala,quiz,2
Classif. Perroca (SCP),escala,guia_bolso,1
