origem,tipo_origem,destino,tipo_destino,relacao,peso
assepsia,conceitos,antissepsia,externo,relacionado,2
assepsia,conceitos,esterilizacao,externo,relacionado,2
assepsia,conceitos,desinfeccao,externo,relacionado,2
assepsia,conceitos,puncao-venosa,interno,relacionado,2
assepsia,conceitos,protocolo-sepse,interno,relacionado,2
calculadora-imc,calculadoras,escala-braden,interno,relacionado,2
calculadora-imc,calculadoras,diabetes,externo,relacionado,2
calculadora-imc,calculadoras,hipertensao,externo,relacionado,2
calculadora-imc,calculadoras,calculadora-superficie-corporal,externo,relacionado,2
caso-sepse-01,educacao,sepse,interno,relacionado,2
caso-sepse-01,educacao,protocolo-sepse,interno,relacionado,2
caso-sepse-01,educacao,escala-sofa,externo,relacionado,2
caso-sepse-01,educacao,ceftriaxona,interno,relacionado,2
caso-sepse-01,educacao,vancomicina,externo,relacionado,2
ceftriaxona,medicamentos,sepse,interno,relacionado,2
ceftriaxona,medicamentos,pneumonia,externo,relacionado,2
ceftriaxona,medicamentos,meningite,externo,relacionado,2
ceftriaxona,medicamentos,infeccao-urinaria,externo,relacionado,2
ceftriaxona,medicamentos,vancomicina,externo,relacionado,2
ceftriaxona,medicamentos,metronidazol,externo,relacionado,2
ceftriaxona,medicamentos,protocolo-sepse,interno,relacionado,2
ceftriaxona,medicamentos,seringa-20ml-luer-lock,interno,relacionado,2
ceftriaxona,medicamentos,soro-fisiologico,externo,relacionado,2
ceftriaxona,medicamentos,agulha-21g,externo,relacionado,2
escala-braden,escalas,nanda-00046,interno,relacionado,2
escala-braden,escalas,noc-0401,interno,relacionado,2
escala-braden,escalas,nic-2300,externo,relacionado,2
escala-braden,escalas,ulcera-pressao-estagio-2,externo,relacionado,2
escala-braden,escalas,curativo-transparente,externo,relacionado,2
escala-braden,escalas,protocolo-prevencao-up,externo,relacionado,2
escala-braden,escalas,calculadora-imc,interno,relacionado,2
filtracao-glomerular,fisiologia,creatinina,externo,relacionado,2
filtracao-glomerular,fisiologia,clearance-creatinina,externo,relacionado,2
filtracao-glomerular,fisiologia,insuficiencia-renal,externo,relacionado,2
filtracao-glomerular,fisiologia,diabetes,externo,relacionado,2
filtracao-glomerular,fisiologia,hipertensao,externo,relacionado,2
flebite,eventos-adversos,puncao-venosa,interno,relacionado,2
flebite,eventos-adversos,cateter-22g,externo,relacionado,2
flebite,eventos-adversos,escala-flebite,externo,relacionado,2
flebite,eventos-adversos,ceftriaxona,interno,relacionado,2
flebite,eventos-adversos,heparina,externo,relacionado,2
hemograma,exames,sepse,interno,relacionado,2
hemograma,exames,anemia,externo,relacionado,2
hemograma,exames,leucemia,externo,relacionado,2
hemograma,exames,protocolo-sepse,interno,relacionado,2
hemograma,exames,ceftriaxona,interno,relacionado,2
musculo-deltoide,anatomia,agulha-25g,externo,relacionado,2
musculo-deltoide,anatomia,vacina-bcg,interno,relacionado,2
musculo-deltoide,anatomia,imunizacao,externo,relacionado,2
musculo-deltoide,anatomia,plexo-braquial,externo,relacionado,2
musculo-deltoide,anatomia,articulacao-ombro,externo,relacionado,2
nanda-00046,nanda,nic-2300,externo,relacionado,2
nanda-00046,nanda,noc-0401,interno,relacionado,2
nanda-00046,nanda,punção-venosa,externo,relacionado,2
nanda-00046,nanda,agulha-21g,externo,relacionado,2
nanda-00046,nanda,cateter-22g,externo,relacionado,2
nanda-00046,nanda,escala-flebite,externo,relacionado,2
nanda-00046,nanda,curativo-transparente,externo,relacionado,2
necrose,patologia,sepse,interno,relacionado,2
necrose,patologia,infarto,externo,relacionado,2
necrose,patologia,gangrena,externo,relacionado,2
necrose,patologia,flebite,interno,relacionado,2
necrose,patologia,ischemia,externo,relacionado,2
nic-2312,nic,nanda-00046,interno,relacionado,2
nic-2312,nic,nanda-00125,externo,relacionado,2
nic-2312,nic,noc-2301,externo,relacionado,2
nic-2312,nic,noc-0401,interno,relacionado,2
nic-2312,nic,ceftriaxona,interno,relacionado,2
nic-2312,nic,heparina,externo,relacionado,2
nic-2312,nic,insulina,externo,relacionado,2
nic-2312,nic,seringa-20ml-luer-lock,interno,relacionado,2
nic-2312,nic,agulha-21g,externo,relacionado,2
nic-2312,nic,protocolo-administracao-ev,externo,relacionado,2
noc-0401,noc,nanda-00046,interno,relacionado,2
noc-0401,noc,nic-2300,externo,relacionado,2
noc-0401,noc,nic-2312,interno,relacionado,2
noc-0401,noc,escala-braden,interno,relacionado,2
noc-0401,noc,ulcera-pressao-estagio-2,externo,relacionado,2
noc-0401,noc,curativo-transparente,externo,relacionado,2
nove-certos,seguranca-paciente,nic-2312,interno,relacionado,2
nove-certos,seguranca-paciente,administracao-medicamentos,externo,relacionado,2
nove-certos,seguranca-paciente,heparina,externo,relacionado,2
nove-certos,seguranca-paciente,insulina,externo,relacionado,2
nove-certos,seguranca-paciente,noradrenalina,externo,relacionado,2
pressao-arterial,sinais-vitais,sepse,interno,relacionado,2
pressao-arterial,sinais-vitais,choque,externo,relacionado,2
pressao-arterial,sinais-vitais,hipertensao,externo,relacionado,2
pressao-arterial,sinais-vitais,protocolo-sepse,interno,relacionado,2
pressao-arterial,sinais-vitais,noradrenalina,externo,relacionado,2
pressao-arterial,sinais-vitais,escala-news2,externo,relacionado,2
protocolo-sepse,protocolos,sepse,interno,relacionado,2
protocolo-sepse,protocolos,escala-sofa,externo,relacionado,2
protocolo-sepse,protocolos,escala-qsofa,externo,relacionado,2
protocolo-sepse,protocolos,ceftriaxona,interno,relacionado,2
protocolo-sepse,protocolos,vancomicina,externo,relacionado,2
protocolo-sepse,protocolos,noradrenalina,externo,relacionado,2
protocolo-sepse,protocolos,cateter-central,externo,relacionado,2
puncao-venosa,procedimentos,seringa-20ml-luer-lock,interno,relacionado,2
puncao-venosa,procedimentos,agulha-21g,externo,relacionado,2
puncao-venosa,procedimentos,cateter-22g,externo,relacionado,2
puncao-venosa,procedimentos,equipo-macrogotas,externo,relacionado,2
puncao-venosa,procedimentos,heparina,externo,relacionado,2
puncao-venosa,procedimentos,escala-flebite,externo,relacionado,2
puncao-venosa,procedimentos,curativo-transparente,externo,relacionado,2
resolucao-cofen-588,legislacao,nic-2312,interno,relacionado,2
resolucao-cofen-588,legislacao,administracao-medicamentos,externo,relacionado,2
resolucao-cofen-588,legislacao,puncao-venosa,interno,relacionado,2
resolucao-cofen-588,legislacao,protocolo-sepse,interno,relacionado,2
sepse,doencas,protocolo-sepse,interno,relacionado,2
sepse,doencas,escala-sofa,externo,relacionado,2
sepse,doencas,escala-qsofa,externo,relacionado,2
sepse,doencas,escala-news2,externo,relacionado,2
sepse,doencas,ceftriaxona,interno,relacionado,2
sepse,doencas,vancomicina,externo,relacionado,2
sepse,doencas,noradrenalina,externo,relacionado,2
sepse,doencas,heparina,externo,relacionado,2
sepse,doencas,cateter-central,externo,relacionado,2
sepse,doencas,seringa-20ml-luer-lock,interno,relacionado,2
sepse,doencas,soro-fisiologico,externo,relacionado,2
sepse,doencas,punção-venosa,externo,relacionado,2
sepse,doencas,hemocultura,externo,relacionado,2
sepse,doencas,lactato,externo,relacionado,2
sepse,doencas,creatinina,externo,relacionado,2
seringa-20ml-luer-lock,materiais,agulha-21g,externo,relacionado,2
seringa-20ml-luer-lock,materiais,agulha-22g,externo,relacionado,2
seringa-20ml-luer-lock,materiais,agulha-25g,externo,relacionado,2
seringa-20ml-luer-lock,materiais,cateter-22g,externo,relacionado,2
seringa-20ml-luer-lock,materiais,cateter-20g,externo,relacionado,2
seringa-20ml-luer-lock,materiais,equipo-macrogotas,externo,relacionado,2
seringa-20ml-luer-lock,materiais,equipo-microgotas,externo,relacionado,2
seringa-20ml-luer-lock,materiais,heparina,externo,relacionado,2
seringa-20ml-luer-lock,materiais,soro-fisiologico,externo,relacionado,2
seringa-20ml-luer-lock,materiais,ringer-lactato,externo,relacionado,2
seringa-20ml-luer-lock,materiais,punção-venosa,externo,relacionado,2
seringa-20ml-luer-lock,materiais,escala-flebite,externo,relacionado,2
seringa-20ml-luer-lock,materiais,curativo-transparente,externo,relacionado,2
snomed-ct,terminologias,cid-11,externo,relacionado,2
snomed-ct,terminologias,loinc,externo,relacionado,2
snomed-ct,terminologias,atc,externo,relacionado,2
snomed-ct,terminologias,fhir,externo,relacionado,2
snomed-ct,terminologias,sepse,interno,relacionado,2
staphylococcus-aureus,microorganismos,sepse,interno,relacionado,2
staphylococcus-aureus,microorganismos,pneumonia,externo,relacionado,2
staphylococcus-aureus,microorganismos,osteomielite,externo,relacionado,2
staphylococcus-aureus,microorganismos,vancomicina,externo,relacionado,2
staphylococcus-aureus,microorganismos,ceftriaxona,interno,relacionado,2
staphylococcus-aureus,microorganismos,protocolo-sepse,interno,relacionado,2
taxa-infeccao,indicadores,sepse,interno,relacionado,2
taxa-infeccao,indicadores,flebite,interno,relacionado,2
