origem,tipo_origem,destino,tipo_destino,relacao,peso
quiz,recurso,Biblioteca de Provas,ferramenta,renderiza,2
simulado,recurso,Biblioteca de Provas,ferramenta,renderiza,3
flashcards,recurso,Biblioteca de Provas,ferramenta,renderiza,1
biblioteca,recurso,Biblioteca de Provas,ferramenta,renderiza,2
calculadora,recurso,COPSOQ II,ferramenta,renderiza,3
artigo,recurso,COPSOQ II,ferramenta,renderiza,1
quiz,recurso,COPSOQ II,ferramenta,renderiza,2
guia_bolso,recurso,COPSOQ II,ferramenta,renderiza,1
flashcards,recurso,COPSOQ II,ferramenta,renderiza,1
caso_clinico,recurso,COPSOQ II,ferramenta,renderiza,2
checklist,recurso,COPSOQ II,ferramenta,renderiza,2
slides,recurso,COPSOQ II,ferramenta,renderiza,1
infografico,recurso,COPSOQ II,ferramenta,renderiza,1
biblioteca,recurso,COPSOQ II,ferramenta,renderiza,2
calculadora,recurso,COPSOQ III,ferramenta,renderiza,3
artigo,recurso,COPSOQ III,ferramenta,renderiza,1
quiz,recurso,COPSOQ III,ferramenta,renderiza,2
guia_bolso,recurso,COPSOQ III,ferramenta,renderiza,1
flashcards,recurso,COPSOQ III,ferramenta,renderiza,1
caso_clinico,recurso,COPSOQ III,ferramenta,renderiza,2
checklist,recurso,COPSOQ III,ferramenta,renderiza,2
slides,recurso,COPSOQ III,ferramenta,renderiza,1
infografico,recurso,COPSOQ III,ferramenta,renderiza,1
biblioteca,recurso,COPSOQ III,ferramenta,renderiza,2
calculadora,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,3
artigo,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,1
quiz,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,2
guia_bolso,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,1
flashcards,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,1
checklist,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,2
caso_clinico,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,2
slides,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,1
infografico,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,1
mapa_mental,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,1
simulado,recurso,Calculadora Adicional Noturno,ferramenta,renderiza,3
