from_ferramenta,to_biblioteca,relacao,peso
Calculadora de Exames Laboratoriais,Sinais Vitais,COMPLEMENTAR,2
Calculadora de Exames Laboratoriais,Exames Lab.,DIRETO,3
Calculadora de Exames Laboratoriais,Anatomia/Fisiol.,COMPLEMENTAR,2
Calculadora de Exames Laboratoriais,Doencas,DIRETO,3
Calculadora de Exames Laboratoriais,Protocolos,COMPLEMENTAR,2
Calculadora de Exames Laboratoriais,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Calculadora de Exames Laboratoriais,Seguranca Paciente,COMPLEMENTAR,2
Calculadora de Exames Laboratoriais,Educacao/Avaliacao,COMPLEMENTAR,2
Calculadora de Exames Laboratoriais,UTI/Emerg.,COMPLEMENTAR,2
Dimensionamento de Enfermagem,Sinais Vitais,DIRETO,3
Dimensionamento de Enfermagem,Doencas,COMPLEMENTAR,2
Dimensionamento de Enfermagem,Protocolos,DIRETO,3
Dimensionamento de Enfermagem,SAE/NANDA/NIC/NOC,DIRETO,3
Dimensionamento de Enfermagem,Seguranca Paciente,DIRETO,3
Dimensionamento de Enfermagem,Legislacao/CLT,DIRETO,3
Dimensionamento de Enfermagem,Educacao/Avaliacao,COMPLEMENTAR,2
Dimensionamento de Enfermagem,Bloco Operat.,COMPLEMENTAR,2
Dimensionamento de Enfermagem,UTI/Emerg.,DIRETO,3
Idade Gestacional e DPP,Medicamentos,COMPLEMENTAR,2
Idade Gestacional e DPP,Sinais Vitais,COMPLEMENTAR,2
Idade Gestacional e DPP,Anatomia/Fisiol.,DIRETO,3
Idade Gestacional e DPP,Doencas,DIRETO,3
Idade Gestacional e DPP,Protocolos,DIRETO,3
Idade Gestacional e DPP,SAE/NANDA/NIC/NOC,DIRETO,3
Idade Gestacional e DPP,Seguranca Paciente,COMPLEMENTAR,2
Idade Gestacional e DPP,Educacao/Avaliacao,COMPLEMENTAR,2
Idade Gestacional e DPP,Pediatria/Neo.,DIRETO,3
Idade Gestacional e DPP,UTI/Emerg.,COMPLEMENTAR,2
Idade Gestacional e DPP,Nutricao,COMPLEMENTAR,2
Calculo de Medicamentos,Medicamentos,DIRETO,3
Calculo de Medicamentos,Dispositivos,DIRETO,3
Calculo de Medicamentos,Seringas,DIRETO,3
Calculo de Medicamentos,Exames Lab.,COMPLEMENTAR,2
Calculo de Medicamentos,Anatomia/Fisiol.,DIRETO,3
Calculo de Medicamentos,Doencas,COMPLEMENTAR,2
Calculo de Medicamentos,Protocolos,DIRETO,3
Calculo de Medicamentos,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Calculo de Medicamentos,Seguranca Paciente,DIRETO,3
