id,hash_sha256,nome_original,nome_novo,caminho,tamanho_bytes,data_processamento,versao,titulo,autor,instituicao,ano_publicacao,tipo_documental,area_conhecimento,palavras_chave,categoria,status
104,2e9a3afddb9b04e14a68e8bd5ae1448e4744294d560097da98121df1c905927d,Lei_7498_25_de_junho_de_1986_regulamentacao_do_exercicio_da_enfermagem.pdf,1986_Presidencia_da_Republica_LEI_No_7.498_DE_25_DE_JUNHO_DE_1986.pdf,C:\calculadoras-de-enfermagem\docs\1986_Presidencia_da_Republica_LEI_No_7.498_DE_25_DE_JUNHO_DE_1986.pdf,322663,2026-08-28T04:49:55.044712,,"LEI No 7.498, DE 25 DE JUNHO DE 1986",[],Presidência da República,1986,legislacao,Enfermagem,[],Legislação,processado
103,547131b20e9eb82910a654bb7445839cd3072e04b50945a42af9a6dc68917ceb,Lei_5905_12_de_julho_1973_criacao_dos_Conselhos_Federal_e_Regionais_de_Enfermagem.pdf,1973_Presidencia_da_Republica_LEI_No_5.905_DE_12_DE_JULHO_DE_1973..pdf,C:\calculadoras-de-enfermagem\docs\1973_Presidencia_da_Republica_LEI_No_5.905_DE_12_DE_JULHO_DE_1973..pdf,262414,2026-08-28T04:49:52.027431,,"LEI No 5.905, DE 12 DE JULHO DE 1973.",[],Presidência da República,1973,legislacao,Enfermagem,[],Legislação,processado
102,546f475de3aebbf8ac2b7e84530a149b27c0084b314f8703fcb7281de1afb36a,AHA_2000_ the_Automated_External_Defibrillator.pdf,2000_American_Heart_Association_Part_4_The_Automated_External_Defibrillator.pdf,C:\calculadoras-de-enfermagem\docs\2000_American_Heart_Association_Part_4_The_Automated_External_Defibrillator.pdf,2320612,2026-08-28T00:44:47.638161,,Part 4: The Automated External Defibrillator,[],American Heart Association,2000,diretriz,Emergencia,"[""desfibrilador externo automático"", ""suporte básico de vida"", ""reanimação cardiopulmonar"", ""fibrilação ventricular"", ""acesso público à desfibrilação""]",Diretriz,processado
101,dd4c0d8a6eefa05f2876a352eba81225505b89ec556a3e10d33e6a6fede833d6,RESOLUCAO_COFEN_N_736_17_DE_JANEIRO_DE_2024-implementacao_do_Processo_de_Enfermagem.pdf,2024_Conselho_Federal_de_Enfermagem_Cofen_RESOLUCAO_COFEN_No_736_DE_17_DE_JANEIRO_DE_2024.pdf,C:\calculadoras-de-enfermagem\docs\2024_Conselho_Federal_de_Enfermagem_Cofen_RESOLUCAO_COFEN_No_736_DE_17_DE_JANEIRO_DE_2024.pdf,579506,2026-08-27T22:14:59.095153,,RESOLUÇÃO COFEN Nº 736 DE 17 DE JANEIRO DE 2024,[],Conselho Federal de Enfermagem – Cofen,2024,resolucao,Enfermagem,[],Legislação,processado
100,c17109a3fec541841b8ad1f7a36e90c54c72f40883c1cb0af2790c892ee9a945,PARECER_NORMATIVO_N_1_2024_COFEN_dimensionamento_da_equipe_de_enfermagem.pdf,2024_Conselho_Federal_de_Enfermagem_00196.0011222023-78_PARECER_NORMATIVO_No_12024COFEN.pdf,C:\calculadoras-de-enfermagem\docs\2024_Conselho_Federal_de_Enfermagem_00196.0011222023-78_PARECER_NORMATIVO_No_12024COFEN.pdf,4530661,2026-08-27T22:14:55.393917,1/2024,PARECER NORMATIVO Nº 1/2024/COFEN,[],Conselho Federal de Enfermagem,2024,nota_tecnica,Enfermagem,[],Parecer normativo,processado
99,46ea517bfc19a29031cfde5679a5d2c74b366bfd974aea97cde8f90cb2f162c9,RESOLUÇÃO_COFEN _N_564_2017_Cofen_codigo_de_etica_dos_profissionais_de_enfermagem.pdf,2017_Conselho_Federal_de_Enfermagem_RESOLUCAO_COFEN_No_5642017.pdf,C:\calculadoras-de-enfermagem\docs\2017_Conselho_Federal_de_Enfermagem_RESOLUCAO_COFEN_No_5642017.pdf,589910,2026-08-26T01:12:09.707615,,RESOLUÇÃO COFEN Nº 564/2017,[],Conselho Federal de Enfermagem,2017,resolucao,Enfermagem,[],Legislação,processado
98,094f3cdf289c4f4e82a23b749b6938a67f57ee87941ca83f07ed840fd1bf68d9,lei-8080-19-setembro-1990-365093-normaatualizada-pl.pdf,1990_Camara_dos_Deputados_LEI_No_8.080_DE_19_DE_SETEMBRO_DE_1990.pdf,C:\calculadoras-de-enfermagem\docs\1990_Camara_dos_Deputados_LEI_No_8.080_DE_19_DE_SETEMBRO_DE_1990.pdf,202750,2026-08-26T01:12:05.796839,,"LEI Nº 8.080, DE 19 DE SETEMBRO DE 1990",[],Câmara dos Deputados,1990,legislacao,Saude_Publica,[],Legislação,processado
97,00c0b4ef29c370d7498728622376585564808fc74730e8fa07ccf70521b95c08,galoa-proceedings-enipe-2017-teorias-de-enfermagem-base-para-o-processo-de-enfermagem.pdf,2017_Universidade_Federal_de_Sao_Paulo_Teorias_de_enfermagem_base_para_o_processo_de_enfermagem.pdf,C:\calculadoras-de-enfermagem\docs\2017_Universidade_Federal_de_Sao_Paulo_Teorias_de_enfermagem_base_para_o_processo_de_enfermagem.pdf,2820040,2026-08-25T22:42:14.984675,,Teorias de enfermagem: base para o processo de enfermagem,"[""Alba Lúcia Bottura Leite de Barros"", ""Gisele Saraiva Bispo""]",Universidade Federal de São Paulo,2017,artigo_cientifico,Enfermagem,"[""Conhecimento de enfermagem"", ""Teorias de enfermagem"", ""Processo de enfermagem""]",,processado
96,f8e45e9a944a6d9e7455b67380ca4b7baadc04cf1648583f5e48ab9d4171997e,Cartilha_Desfribilador_Automatico_MS_2025.pdf,2025_Agencia_Nacional_de_Vigilancia_Sanitaria_Cartilha_de_Seguranca_e_Desempenho_Desfibrilador_Automatico_Externo.pdf,C:\calculadoras-de-enfermagem\docs\2025_Agencia_Nacional_de_Vigilancia_Sanitaria_Cartilha_de_Seguranca_e_Desempenho_Desfibrilador_Automatico_Externo.pdf,1445805,2026-08-25T04:02:47.341291,1ª edição revisada e ampliada – 2025 – versão eletrônica,Cartilha de Segurança e Desempenho Desfibrilador Automático Externo,"[""Léria Rosane Holsbach"", ""Marcus Vinícius Lia Fook"", ""Maria Glória Vicente"", ""Suédina Maria de Lima Silva"", ""Stela Candioto Melchior"", ""Victhor Alexandre Vilarins Cardoso da Silva"", ""Rômulo Feitosa Navarro""]",Agência Nacional de Vigilância Sanitária,2025,cartilha,Emergencia,"[""Emergências médicas"", ""Agência Nacional de Vigilância Sanitária (Brasil)"", ""Saúde pública - Brasil"", ""Segurança pública - Brasil""]",Cartilha,processado
95,fd7a3337b7180caf39eabd68fb98b5d8e5cd1b8cedf4efd2ff7d59d56cc316c0,teorias-de-enfermagem-relevancia-para-a-pratica-profissional-na-atualidade (1).pdf,2021_TEORIAS_DE_ENFERMAGEM_RELEVANCIA_PARA_A_PRATICA_PROFISSIONAL_NA_ATUALIDADE.pdf,C:\calculadoras-de-enfermagem\docs\2021_TEORIAS_DE_ENFERMAGEM_RELEVANCIA_PARA_A_PRATICA_PROFISSIONAL_NA_ATUALIDADE.pdf,2115155,2026-08-25T03:01:25.457944,1.ª edição,TEORIAS DE ENFERMAGEM: RELEVÂNCIA PARA A PRÁTICA PROFISSIONAL NA ATUALIDADE,"[""Danielle Galdino de Souza"", ""Vanderlene Pinto Brandão"", ""Maria das Neves Martins"", ""José Athayde Vasconcelos de Morais"", ""Nayane Oliveira de Jesus""]",,2021,livro,Enfermagem,"[""Saúde"", ""Enfermagem"", ""Sistematização da Assistência de Enfermagem""]",,processado
