======================================================================
         RELATÓRIO DE CORREÇÃO SCHEMA.ORG (BREADCRUMBS)               
======================================================================

Total de arquivos corrigidos: 1188
Total de arquivos intactos/corretos: 350

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[CORRIGIDO] .\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] .\5-ts-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] .\adequar-nr1.html | Atributo 'item' injetado.
[CORRIGIDO] .\adicional-noturno.html | Atributo 'item' injetado.
[CORRIGIDO] .\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] .\apache.html | Atributo 'item' injetado.
[CORRIGIDO] .\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] .\asa.html | Atributo 'item' injetado.
[CORRIGIDO] .\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] .\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] .\berg.html | Atributo 'item' injetado.
[CORRIGIDO] .\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] .\bps.html | Atributo 'item' injetado.
[CORRIGIDO] .\braden.html | Atributo 'item' injetado.
[CORRIGIDO] .\calculadoravacina.html | Atributo 'item' injetado.
[CORRIGIDO] .\calculo-de-ferias.html | Atributo 'item' injetado.
[CORRIGIDO] .\cam.html | Atributo 'item' injetado.
[CORRIGIDO] .\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] .\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] .\cries.html | Atributo 'item' injetado.
[CORRIGIDO] .\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] .\downes.html | Atributo 'item' injetado.
[CORRIGIDO] .\downton.html | Atributo 'item' injetado.
[CORRIGIDO] .\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] .\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] .\fast.html | Atributo 'item' injetado.
[CORRIGIDO] .\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] .\four.html | Atributo 'item' injetado.
[CORRIGIDO] .\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] .\gds.html | Atributo 'item' injetado.
[CORRIGIDO] .\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] .\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] .\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] .\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] .\imc.html | Atributo 'item' injetado.
[CORRIGIDO] .\instrumentais-cirurgicos.html | Atributo 'item' injetado.
[CORRIGIDO] .\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] .\katz.html | Atributo 'item' injetado.
[CORRIGIDO] .\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] .\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] .\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] .\lei8080-sus.html | Atributo 'item' injetado.
