======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] .\5-hs-da-paradacardiorespiratoria.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\5-ts-da-paradacardiorespiratoria.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\adequar-nr1.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\adicional-noturno.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\album_enfermagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\aldrete.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\apache.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\apgar.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\asa.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\balancohidrico.html | pt corrigido para pt-BR
[PADRONIZADO] .\ballard.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\barthel.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\berg.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\bishop.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\bps.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\braden.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\calculadoravacina.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\calculo-de-ferias.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\calculo-hora-extra.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\cam.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\capurro.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\checagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\checklist-cirurgico-seguro.html | pt corrigido para pt-BR
[PADRONIZADO] .\cincinnati.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\copsoq-curta.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\copsoq.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\copsoq3.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\cornell.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\cries.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\curb-65.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\diagnosticosnanda.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\dimensionamento.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\downes.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\downton.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\elpo.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\entenda_copsoq.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\equipamentoscc.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\escalanumerica.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\exames_laboratoriais.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\fale.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\fast.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\flacc.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\flashcards_quiz.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\formulário-saep-enfermagem.html | pt corrigido para pt-BR
[PADRONIZADO] .\forum-enfermagem.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\four.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\fugulin.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\gasometria.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\gds.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\genogramaeecomapa.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\gestacional.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\glasgow.html | pt-br corrigido para pt-BR
[PADRONIZADO] .\gosnell.html | pt-br corrigido para pt-BR
