======================================================================
         RELATÓRIO DE OTIMIZAÇÃO DE IMAGENS (SERVE SCALED)            
======================================================================

Imagens redimensionadas e otimizadas: 696
Imagens que já estavam no tamanho correto: 1523
Total de espaço em disco e rede poupado: 342.65 MB

Detalhamento por ficheiro:
----------------------------------------------------------------------
[OTIMIZADO] img\1 - BOTULISMO - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 244.85 KB
[OTIMIZADO] img\10 - DOENÇAS EXANTEMÁTICAS SARAMPO E RUBÉOLA - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 217.09 KB
[OTIMIZADO] img\10 ANOS DO PROGRAMA NACIONAL DE SEGURANÇA DO PACIENTE.webp | 1024x260 -> 800x203 | Poupou: 1.11 KB
[OTIMIZADO] img\10-causas-de-PCR.webp | 2816x1536 -> 800x436 | Poupou: 229.46 KB
[OTIMIZADO] img\11 - EVENTO DE SAÚDE PUBLICA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 282.21 KB
[OTIMIZADO] img\12 - EVENTOS ADVERSOS GRAVES PÓS VACINAÇÃO - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 205.47 KB
[OTIMIZADO] img\13 - FEBRE AMARELA - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 242.90 KB
[OTIMIZADO] img\14 - CHIKUNGUNYA EM ÁREAS SEM TRANSMISSÃO - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 199.03 KB
[OTIMIZADO] img\15 - FEBRE DO NILO OCIDENTAL - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 214.71 KB
[OTIMIZADO] img\16 - FEBRE MACULOSA - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 205.96 KB
[OTIMIZADO] img\17 - HANTAVIROSE - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 227.03 KB
[OTIMIZADO] img\18 - INFLUENZA POR NOVO SUBTIPO VIRAL - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 182.52 KB
[OTIMIZADO] img\19 - MALÁRIA NA REGIÃO EXTRA-AMAZÔNICA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 183.13 KB
[OTIMIZADO] img\2 - CÓLERA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 193.45 KB
[OTIMIZADO] img\20 - MONKEYPOX - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 226.14 KB
[OTIMIZADO] img\21 - ÓBITO COM SUSPEITA DE DOENÇA PELO VIRUS ZIKA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 150.34 KB
[OTIMIZADO] img\22 - PESTE - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 213.65 KB
[OTIMIZADO] img\23 - POLIOMIELITE POS POLIO SELVAGEM - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 244.98 KB
[OTIMIZADO] img\24 - RAIVA HUMANA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 1408x768 -> 800x436 | Poupou: 49.59 KB
[OTIMIZADO] img\25 - SÍNDROME DA RUBÉOLA CONGÊNITA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 1408x768 -> 800x436 | Poupou: 49.29 KB
[OTIMIZADO] img\26 - SÍNDROME DA PARALISIA FLÁCIDA AGUDA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 272.22 KB
[OTIMIZADO] img\27- SINDROME GRIPAL NA SUSPEITA DE COVID 19 - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 177.31 KB
[OTIMIZADO] img\28 - SÍNDROME INFLAMATÓRIA MULTISSISTÊMICA EM ADULTOS - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 228.27 KB
[OTIMIZADO] img\29 - SÍNDROME INFLAMATÓRIA MULTISSISTEMICA PEDIÁTRICA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 221.84 KB
[OTIMIZADO] img\3 - COVID 19 - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 199.65 KB
[OTIMIZADO] img\30 - SÍNDROME RESPIRATORIA AGUDA GRAVE POR CORONAVÍRUS - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 256.70 KB
[OTIMIZADO] img\31 - VARICELA CASO GRAVE OU ÓBITO - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA IMEDIATA.webp | 2816x1536 -> 800x436 | Poupou: 221.57 KB
[OTIMIZADO] img\4 - ÓBITO DE DENGUE - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 188.03 KB
[OTIMIZADO] img\5 - DOENÇA AGUDA PELO ZIKA VIRUS EM GESTANTES - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 227.63 KB
[OTIMIZADO] img\5 Hs DA PARADA CARDDIORESPIRATORIA - CAUSAS PROVÁVEIS.webp | 2816x1504 -> 800x427 | Poupou: 238.07 KB
[OTIMIZADO] img\5prevencao_no_trabalho_nr1.webp | 1672x941 -> 800x450 | Poupou: 115.77 KB
[OTIMIZADO] img\5ts causa provável da parada cardiorespiratória.webp | 2816x1536 -> 800x436 | Poupou: 183.88 KB
[OTIMIZADO] img\5ts tamponamento cardiaco.webp | 2816x1536 -> 800x436 | Poupou: 127.33 KB
[OTIMIZADO] img\5ts tensao de torax.webp | 2816x1536 -> 800x436 | Poupou: 130.03 KB
[OTIMIZADO] img\5ts toxinas.webp | 2816x1536 -> 800x436 | Poupou: 103.79 KB
[OTIMIZADO] img\5ts tromboembolismo pulmonar.webp | 2816x1536 -> 800x436 | Poupou: 148.92 KB
[OTIMIZADO] img\5ts trombose coronaria.webp | 2816x1536 -> 800x436 | Poupou: 141.69 KB
[OTIMIZADO] img\6 - DOENÇA DE CHAGAS AGUDA - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 198.74 KB
[OTIMIZADO] img\7 - Haemophilus Influenza E OUTRAS  DOENÇAS MENINGOCÓCICAS - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 217.14 KB
[OTIMIZADO] img\8 - Doenças com suspeita de disseminação intencional - DOENÇA DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 237.35 KB
[OTIMIZADO] img\9 - DOENÇAS FEBRIS HEMORRÁGICAS EMERGENTES - DOENÇAS DE NOTIFICAÇÃO COMPULSÓRIA.webp | 2816x1536 -> 800x436 | Poupou: 280.21 KB
[OTIMIZADO] img\A IMPORTANCIA DA COMPRESSAO ADEQUADA APÓS COLETA DE GASOMETRIA NA UTI ADULTO.webp | 1024x1448 -> 800x1131 | Poupou: 3.88 KB
[OTIMIZADO] img\A-HISTÓRIA-DA-SAÚDE.webp | 1024x1448 -> 800x1131 | Poupou: 35.95 KB
[OTIMIZADO] img\ABCDE-na-PCR.webp | 2816x1536 -> 800x436 | Poupou: 237.04 KB
[OTIMIZADO] img\acidente-de-trabalho-material-biologico.webp | 1380x752 -> 800x435 | Poupou: 70.48 KB
[OTIMIZADO] img\ACIONANDO O TIME DE RESPOSTA RAPIDA.webp | 2816x1536 -> 800x436 | Poupou: 40.97 KB
[OTIMIZADO] img\admin,+GENOGRAMA+E+ECOMAPA (1) - Copia.webp | 1024x1448 -> 800x1131 | Poupou: 68.20 KB
[OTIMIZADO] img\admin,+GENOGRAMA+E+ECOMAPA (1).webp | 1024x1448 -> 800x1131 | Poupou: 68.20 KB
[OTIMIZADO] img\admin,+GENOGRAMA+E+ECOMAPA - Copia.webp | 1024x1448 -> 800x1131 | Poupou: 68.20 KB
[OTIMIZADO] img\admin,+GENOGRAMA+E+ECOMAPA.webp | 1024x1448 -> 800x1131 | Poupou: 68.20 KB
[OTIMIZADO] img\admin,+REP-2011-377 - Copia.webp | 1024x1448 -> 800x1131 | Poupou: 46.67 KB
[OTIMIZADO] img\admin,+REP-2011-377.webp | 1024x1448 -> 800x1131 | Poupou: 46.67 KB
[OTIMIZADO] img\AFASTADOR DE CODMAN.webp | 1024x1024 -> 800x800 | Poupou: -0.53 KB
[OTIMIZADO] img\ALDRETE E KROULIK.png | 1856x2304 -> 800x993 | Poupou: 4003.94 KB
[OTIMIZADO] img\ALDRETE E KROULIK.webp | 1856x2304 -> 800x993 | Poupou: 89.15 KB
[OTIMIZADO] img\ALICATE DE CORTE.webp | 1080x1080 -> 800x800 | Poupou: 35.02 KB
[OTIMIZADO] img\ALIMENTAÇÃO DO IDOSO ILUSTRAÇÃO.png | 1024x1024 -> 800x800 | Poupou: 525.98 KB
[OTIMIZADO] img\ALIMENTAÇÃO DO IDOSO ILUSTRAÇÃO.webp | 1024x1024 -> 800x800 | Poupou: 39.36 KB
[OTIMIZADO] img\amiodarona-ritmos-chocaveis.webp | 2816x1536 -> 800x436 | Poupou: 113.62 KB
[OTIMIZADO] img\AMPOLA DE MEDICAMENTO ILUSTRAÇÃO.png | 1024x1024 -> 800x800 | Poupou: 246.81 KB
[OTIMIZADO] img\AMPOLA DE MEDICAMENTO ILUSTRAÇÃO.webp | 1024x1024 -> 800x800 | Poupou: 3.34 KB
[OTIMIZADO] img\aparelho-de-scopia.webp | 1200x1200 -> 800x800 | Poupou: 12.44 KB
[OTIMIZADO] img\Aquecimento imediato em caso de hipotermia, mantas, aquecedor portátil, manta térmica, solução fisiologica aquecida.webp | 2816x1536 -> 800x436 | Poupou: 194.24 KB
[OTIMIZADO] img\ARMAZENAMENTO DE MEDICAMENTO DE ALTA VIGILANCIA - MAV.webp | 2816x1536 -> 800x436 | Poupou: 163.60 KB
[OTIMIZADO] img\arterielle-blutgas-analysegerat.webp | 1254x1254 -> 800x800 | Poupou: 30.67 KB
[OTIMIZADO] img\artigos-utilizados-no-paciente-intubado.webp | 2944x1440 -> 800x391 | Poupou: 383.55 KB
[OTIMIZADO] img\ARTROSCÓPIO ORTOPEDIA.webp | 1200x910 -> 800x606 | Poupou: 19.89 KB
[OTIMIZADO] img\aspirador-cirurgico.webp | 2752x1536 -> 800x446 | Poupou: 159.03 KB
[OTIMIZADO] img\aspirador-cirurgico1.webp | 1536x1024 -> 800x533 | Poupou: 65.35 KB
