======================================================================
         RELATÓRIO DE REORDENAÇÃO DE HREFLANG (SEO INTERNACIONAL)     
======================================================================

Total de arquivos com ordem corrigida: 1331
Total de arquivos já corretos/intactos: 201

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[REORDENADO] .\geradordir.html | Nova ordem: pt-br, x-default
[REORDENADO] .\matriz-de-risco.html | Nova ordem: pt-br, x-default
[REORDENADO] .\risktools.html | Nova ordem: pt-br, x-default
[REORDENADO] en\aldrete.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\asa.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\ballard.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\bps.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\cam.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\checagem.html | Nova ordem: en, pt-br, x-default
[REORDENADO] en\cincinnati.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\cornell.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\cries.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\curb-65.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\diagnosticosnanda.html | Nova ordem: en, pt-br, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\downes.html | Nova ordem: en, pt-br, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\downton.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\elpo.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\fale.html | Nova ordem: en, pt-br, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\fast.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] en\flacc.html | Nova ordem: en, pt-br, es, fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
