Categoria,Item,Ocorrencias
Fonte,Nunito Sans,2705
Fonte,Inter,2703
Fonte,,393
Fonte,Japanese,142
Fonte,Arabic,138
Fonte,Devanagari,138
Fonte,Korean,138
Fonte,"Arial,sans-serif",100
Fonte,Chinese,66
Fonte,"Arial, sans-serif",58
Fonte,Arial,38
Fonte,monospace,36
Fonte,&quot,29
Fonte,"Nunito Sans', 'Noto Sans JP', sans-serif",22
Fonte,"Inter', 'Noto Sans JP', sans-serif",17
Fonte,"Nunito Sans', sans-serif",16
Fonte,"Inter', sans-serif",12
Fonte,"Manrope', sans-serif",11
Fonte,"Manrope',sans-serif",8
Fonte,var(--font-primary),8
Fonte,"Courier New', Courier, monospace",7
Fonte,"Noto Sans JP', 'Inter', sans-serif",5
Fonte,"Cormorant Garamond', Georgia, serif",4
Fonte,"Plus Jakarta Sans', sans-serif",4
Fonte,"Noto Sans Devanagari', 'Inter', sans-serif",4
Fonte,"Nunito, system-ui, -apple-system, Segoe UI, Roboto, Arial, sans-serif",3
Fonte,inherit,3
Fonte,"Segoe UI', system-ui, -apple-system, sans-serif",3
Fonte,"Calibri, sans-serif",3
Fonte,"Noto Sans JP', sans-serif",3
Fonte,"-apple-system, BlinkMacSystemFont, 'Segoe UI', 'Roboto', 'Oxygen', 'Ubuntu', 'Cantarell', 'Open Sans', 'Helvetica Neue', sans-serif, 'PingFang SC', 'Hiragino Sans GB', 'Microsoft YaHei', 'WenQuanYi Micro Hei', sans-serif",3
Fonte,"Arial, sans-serif !important",2
Fonte,"Manrope', Inter, system-ui, sans-serif",2
Fonte,"Nunito Sans', Inter, system-ui, -apple-system, Segoe UI, Roboto, Arial, sans-serif",2
Fonte,"Cairo', 'Inter', sans-serif",2
Fonte,"Inter,
system-ui,
-apple-system,
",1
Fonte,"Arial, Helvetica, sans-serif !important",1
Fonte,"Plus Jakarta Sans', Inter, sans-serif",1
Fonte,"Times New Roman', serif",1
Fonte,var(--font-secondary),1
Fonte,"Inter, system-ui, Arial, sans-serif",1
Fonte,"Georgia', serif",1
Fonte,"Cairo', 'Nunito Sans', sans-serif",1
Fonte,"Nunito Sans', 'Cairo', sans-serif",1
Fonte,"Inter', 'Cairo', sans-serif",1
Fonte,"Tajawal', sans-serif",1
Fonte,"Noto Sans Arabic', sans-serif",1
Fonte,"
",1
Fonte,"Inter', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Arial, sans-serif",1
Icone,fa-solid-900,1529
Icone,fa-brands-400,1454
Icone,fa-book-medical,331
Icone,fa-house,313
Icone,fa-eraser,307
Icone,fa-calculator,293
Icone,fa-check,234
Icone,fa-chevron-down,234
Icone,fa-file-pdf,222
Icone,fa-print,216
Icone,fa-arrow-right,213
Icone,fa-notes-medical,206
Icone,fa-spin,199
Icone,fa-spinner,198
Icone,fa-list-check,193
Icone,fa-user-nurse,171
Icone,fa-circle-check,162
Icone,fa-stethoscope,160
Icone,fa-brain,159
Icone,fa-hospital-alt,155
Icone,fa-book,153
Icone,fa-syringe,153
Icone,fa-info-circle,136
Icone,fa-baby,132
Icone,fa-link,124
Icone,fa-triangle-exclamation,119
Icone,fa-lungs,114
Icone,fa-bed-pulse,110
Icone,fa-bed,101
Icone,fa-hospital-user,99
Icone,fa-clock,98
Icone,fa-hospital,97
Icone,fa-baby-carriage,95
Icone,fa-weight-scale,95
Icone,fa-pills,94
Icone,fa-clipboard-check,84
Icone,fa-child,82
Icone,fa-eye,81
Icone,fa-chevron-right,78
Icone,fa-home,77
Icone,fa-comments,77
Icone,fa-person-walking-with-cane,76
Icone,fa-user-pen,62
Icone,fa-table-list,62
Icone,fa-bath,61
Icone,fa-handshake-angle,58
Icone,fa-circle-info,57
Icone,fa-users-cog,57
Icone,fa-file-medical-alt,57
Icone,fa-leaf,56
Icone,fa-check-double,46
Icone,fa-heart-pulse,43
Icone,fa-heartbeat,41
Icone,fa-percent,40
Icone,fa-comment-medical,40
Icone,fa-vial,40
Icone,fa-champagne-glasses,39
Icone,fa-external-link-alt,39
Icone,fa-wheelchair,38
Icone,fa-mug-saucer,38
Icone,fa-xmark,38
Icone,fa-droplet,38
Icone,fa-weight,38
Icone,fa-hand-holding-medical,38
Icone,fa-walking,38
Icone,fa-user-md,38
Icone,fa-magnifying-glass-plus,37
Icone,fa-file-medical,33
Icone,fa-users-gear,33
Icone,fa-building,32
Icone,fa-calendar,30
Icone,fa-tag,30
Icone,fa-layer-group,27
Icone,fa-chart-line,27
Icone,fa-microscope,26
Icone,fa-times,25
Icone,fa-scale-balanced,24
Icone,fa-person-cane,23
Icone,fa-exclamation-triangle,23
Icone,fa-shield-halved,22
Icone,fa-earth-americas,22
Icone,fa-book-open,22
Icone,fa-circle-question,21
Icone,fa-hand-holding-water,21
Icone,fa-cloud-arrow-down,21
Icone,fa-square,20
Icone,fa-mask-face,20
Icone,fa-receipt,20
Icone,fa-house-chimney-medical,20
Icone,fa-globe,20
Icone,fa-atom,19
Icone,fa-laptop-medical,19
Icone,fa-user-graduate,19
Icone,fa-tint,19
Icone,fa-vial-circle-check,19
Icone,fa-viruses,19
Icone,fa-question-circle,19
Icone,fa-person,19
Icone,fa-user-doctor,19
Icone,fa-lungs-virus,19
Icone,fa-shower,19
Icone,fa-clinic-medical,19
Icone,fa-eye-dropper,19
Icone,fa-square-plus,19
Icone,fa-clipboard-user,19
Icone,fa-accessible-icon,19
Icone,fa-solar-panel,19
Icone,fa-microchip,19
Icone,fa-code,19
Icone,fa-server,19
Icone,fa-universal-access,19
Icone,fa-font-awesome,19
Icone,fa-envelope,19
Icone,fa-person-falling,18
Icone,fa-square-root-variable,18
Icone,fa-bullseye,18
Icone,fa-gem,18
Icone,fa-hands-holding-child,18
Icone,fa-person-walking,18
Icone,fa-shield-heart,17
Icone,fa-lg,17
Icone,fa-hand-pointer,13
Icone,fa-folder,10
Icone,fa-rotate-right,10
Icone,fa-earth-europe,9
Icone,fa-google,9
Icone,fa-magnifying-glass,8
Icone,fa-circle-exclamation,7
Icone,fa-download,6
Icone,fa-arrow-left,6
Icone,fa-earth-asia,6
Icone,fa-arrow-up,5
Icone,fa-user-check,5
